filepath,pdf_base,voluntario,seq,cluster
Pranchetas fotografias - PUFA - treinamento/Pranchetas fotografias - PUFA - treinamento_Voluntario9.jpeg,Pranchetas fotografias - PUFA - treinamento,9,1,0
clusters/Pranchetas fotografias - PUFA - treinamento/cluster_0/Pranchetas fotografias - PUFA - treinamento_Voluntario10.jpeg,Pranchetas fotografias - PUFA - treinamento,10,1,0
images_by_view/Pranchetas fotografias - PUFA - treinamento/viewA/Pranchetas fotografias - PUFA - treinamento_Voluntario10.jpeg,Pranchetas fotografias - PUFA - treinamento,10,1,0
Pranchetas fotografias - PUFA - treinamento/Pranchetas fotografias - PUFA - treinamento_Voluntario10.jpeg,Pranchetas fotografias - PUFA - treinamento,10,1,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,1,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,1,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,1,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,2,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,2,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,2,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,3,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,3,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,3,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,4,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,4,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,4,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,5,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,5,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,5,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,6,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,6,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,6,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,7,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,7,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,7,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,8,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,8,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario1_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,1,8,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,1,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,1,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,1,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,2,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,2,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,2,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,3,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,3,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,3,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,4,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,4,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,4,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,5,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,5,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,5,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,6,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,6,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,6,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,7,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,7,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,7,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,8,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,8,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,8,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,9,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,9,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario2_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,2,9,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,1,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,1,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,1,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,2,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,2,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,2,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,3,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,3,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,3,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,4,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,4,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,4,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,5,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,5,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,5,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,6,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,6,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,6,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,7,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,7,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,7,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,8,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,8,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,8,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,9,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,9,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario3_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,3,9,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,1,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,1,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,1,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,2,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,2,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_2.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,2,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,3,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,3,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_3.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,3,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,4,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,4,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_4.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,4,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,5,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,5,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_5.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,5,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_0/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,6,0
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewA/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,6,0
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_6.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,6,0
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,7,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,7,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_7.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,7,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,8,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,8,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_8.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,8,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,9,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,9,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_9.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,9,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_10.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,10,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_10.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,10,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario4_10.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,4,10,1
clusters/Pranchetas fotografias - dentição decídua - Oclusão treinamento/cluster_1/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario5_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,5,1,1
images_by_view/Pranchetas fotografias - dentição decídua - Oclusão treinamento/viewB/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario5_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,5,1,1
Pranchetas fotografias - dentição decídua - Oclusão treinamento/Pranchetas fotografias - dentição decídua - Oclusão treinamento_Voluntario5_1.jpeg,Pranchetas fotografias - dentição decídua - Oclusão treinamento,5,1,1
